공고번호,날짜,기초가,예가,투찰가
9253792,2026.03.13,41980730,42033694,34046300
9253734,2026.03.12,66095000,65918345,57490000
9253815,2026.03.12,45950000,46026102,37171000
9253723,2026.03.12,163800000,164300690,161980000
9253724,2026.03.12,61524700,61628323,53037000
9253626,2026.03.11,65720000,65570073,52910600
9253629,2026.03.11,38400000,38453189,31116000
9253563,2026.03.10,8985000,9020600,7830500
9253711,2026.03.10,7278600,7306329,7060000
9253713,2026.03.10,9714360,9685519,8529212
9253614,2026.03.10,2045700000,2060723094,1663750000
9253509,2026.03.09,258650,258193,208550
9253567,2026.03.06,36160800,36239275,30333765
9253561,2026.03.06,38514400,38582130,31100370
9253562,2026.03.06,37620028,37462485,32179889
9253438,2026.03.06,75000000,75225702,70125000
9253582,2026.03.05,6950000,6963561,6129926
9253480,2026.03.05,4684,4640,3785
9253513,2026.03.05,75867000,76080340,72832320
9253514,2026.03.05,81502260,81042842,80687200
9253519,2026.03.05,30063151,30135004,28260000
9253520,2026.03.05,86828000,87406048,81620000
9253542,2026.03.05,19360000,19401607,15789900
9253544,2026.03.05,60223620,60327813,48901500
9253449,2026.03.05,76000000,75111338,61096400
9253574,2026.03.05,30111600,30234649,24857111
9253583,2026.03.05,3570000,3554535,3128151
9253622,2026.03.05,13500000,13452754,11911050
9253594,2026.03.05,79457,79577,64300
9253794,2026.03.05,26080000,26027121,25689100
9253651,2026.03.05,95200000,95338272,93296000
9253602,2026.03.05,14740200,14763405,14700000
9253621,2026.03.05,16340000,16224851,14277870
9253606,2026.03.05,10771200,10841485,10663400
9253605,2026.03.05,17994800,17820299,15697970
9253432,2026.03.04,54665550,54107687,46460000
9253434,2026.03.04,16678230,16819947,15100000
9253453,2026.03.04,24400000,24563411,19947000
9253457,2026.03.04,63190000,62846757,50982000
9253459,2026.03.04,94000000,93117035,74975800
9253460,2026.03.04,38400000,38253879,38000000
9253479,2026.03.04,1617000,1608682,1298700
9253481,2026.03.04,54240000,53867822,48800000
9253491,2026.03.04,83450000,83255912,67385870
9253496,2026.03.04,189050000,188209243,186000000
9253499,2026.03.04,82360000,81941654,66100000
9253446,2026.03.04,89000000,88715969,73149230
9253676,2026.03.03,758000,764440,568488
9253466,2026.03.03,4800,4792,4218
9253473,2026.03.03,8572104,8536764,7363450
9253497,2026.03.03,14660800,14608991,14600000
9253492,2026.02.27,9995850,10003343,9980000
9253506,2026.02.27,14520000,14569037,13939200
9253507,2026.02.27,8082840,8123249,8080000
9253389,2026.02.25,18077400,18071435,17715850
9253404,2026.02.25,17000000,16999051,16400000
9253258,2026.02.24,50257462,50152870,40396950
9253361,2026.02.24,4455990,4468616,3936119
9253373,2026.02.24,13125600,13177644,12180888
9253318,2026.02.23,9837000,9934703,9215580
9253241,2026.02.20,2920000,2908044,2394400
9253335,2026.02.20,7798000,7799815,7797000
9253427,2026.02.20,1008,1012,1007
9253213,2026.02.13,45570000,46041582,45110000
9253212,2026.02.13,31920000,31826450,29685000
9253143,2026.02.12,66300,66302,53400
9253145,2026.02.12,101700,101643,81860
9253146,2026.02.12,10400,10459,8450
9253155,2026.02.12,30388,30190,24332
9253221,2026.02.12,17600000,17627423,15519600
9253237,2026.02.12,6185800,6211862,5742000
9253144,2026.02.12,21600,21375,17284
9253186,2026.02.11,3750000,3770810,3476000
9253189,2026.02.11,4450000,4461882,3931840
9253148,2026.02.11,11814000,11806036,11770000
9253157,2026.02.11,8100000,8166056,8130000
9253184,2026.02.11,8080000,8045573,7080504
9253188,2026.02.11,9540000,9488560,8967600
9253190,2026.02.11,8320000,8329323,8320000
9253130,2026.02.10,8824000,8916800,8633240
9253099,2026.02.10,67707800,67945563,54695520
9253114,2026.02.10,94573034,94314215,76000000
9253116,2026.02.10,107457000,106963747,106000000
9253118,2026.02.10,7980000,8071498,7978000
9253123,2026.02.10,88396000,88373418,83990000
9253109,2026.02.09,7942200,7927168,6464000
9253050,2026.02.06,461103115,457570454,369260876
9253090,2026.02.06,17835310,17919368,14802000
9253102,2026.02.06,56857040,56948161,56289000
9253103,2026.02.06,86070000,85666225,69298765
9253113,2026.02.06,17320500,17418996,15546900
9253105,2026.02.05,1362,1372,1244
9253037,2026.02.05,78506940,78640027,63366871
9253039,2026.02.05,63000000,63488173,59850000
9253052,2026.02.05,59520000,59536377,48072500
9253057,2026.02.05,3240,3234,2873
9253067,2026.02.05,35300000,35323032,33464000
9253068,2026.02.05,27100000,27030802,21910000
9253083,2026.02.05,72000000,71685683,68400000
9253027,2026.02.05,34071800,33821951,27227210
9253029,2026.02.04,92340000,91981856,74580240
9253032,2026.02.04,1341,1326,1175
9253042,2026.02.04,95450000,95842718,95450000
9252979,2026.02.03,20406000,20418901,16437033
9253055,2026.02.03,70070,70202,61880
9253025,2026.01.30,12256000,12215092,10826000
9252997,2026.01.29,100024600,99562632,99500000
9253022,2026.01.29,15400000,15328159,15092000
9252989,2026.01.28,97369200,96093615,78338206
9252969,2026.01.27,17078700,17236060,15167865
9252995,2026.01.27,14229600,14246107,12540000
9252993,2026.01.27,99500,99018,87200
9252983,2026.01.23,247500,247427,199237
9252982,2026.01.23,4284000,4251096,3457188
9252958,2026.01.16,23520000,23655296,21890000
9252981,2026.01.14,16650000,16557715,14652000
9252955,2026.01.14,68792810,69334152,56000000
9252934,2026.01.07,634000,634749,512150
9252951,2026.01.07,2194000,2194146,2189900
9252793,2025.12.30,2450000000,2472591890,1715340000
9252794,2025.12.30,1218000000,1219893673,1155000000
9252914,2025.12.30,77500,77079,77000
9252751,2025.12.29,136730000,136493133,91609100
9252887,2025.12.26,13514000000,13506937389,13431700000
9252827,2025.12.26,89250,89216,85000
9252879,2025.12.26,385700000,385300055,377986000
9252788,2025.12.24,534230,535073,431550
9252812,2025.12.23,454188060,454249028,368236560
9252851,2025.12.23,65780000,65626562,63789200
9252786,2025.12.23,1200000,1208155,1116000
9252773,2025.12.23,141934170,142862420,115159733
9252792,2025.12.22,1380,1381,1274
9252850,2025.12.22,14600,14748,14530
9252861,2025.12.22,1240000000,1241931614,1233800000
9252874,2025.12.22,425680000,425344820,420000000
9252700,2025.12.19,73000000,73693822,71500000
9252738,2025.12.19,49324000,49513189,49200000
9252846,2025.12.19,49580,49471,47300
9252721,2025.12.18,39183500,39045466,31680000
9252804,2025.12.18,162000000,163107302,131521968
9252782,2025.12.18,170736435,169748494,136660000
9252770,2025.12.18,272000000,273765767,258000000
9252759,2025.12.18,5580,5581,5104
9252725,2025.12.18,157317600,157107340,126469614
9252714,2025.12.18,19539240,19718150,15879880
9252713,2025.12.18,88350000,88040273,87100000
9252712,2025.12.18,46308160,46393942,37452000
9252710,2025.12.18,73900160,74497241,72422000
9252705,2025.12.18,1292,1289,1209
9252678,2025.12.18,65000,65032,52358
9252657,2025.12.18,42959450,42757850,34621020
9252819,2025.12.17,74176000,74686388,73391400
9252661,2025.12.17,43750000,43904320,35341250
9252663,2025.12.17,1555500,1561142,1500000
9252664,2025.12.17,1380800,1384485,1290000
9252665,2025.12.17,98300,97860,78780
9252667,2025.12.17,468800,464448,374326
9252668,2025.12.17,13500,13496,10873
9252683,2025.12.17,1360000,1355995,1093000
9252774,2025.12.17,254499000,255871697,251322082
9252648,2025.12.16,45758000,46309161,43378000
9252652,2025.12.16,441000000,442768799,417186000
9252670,2025.12.16,22652300,22646381,18229600
9252681,2025.12.16,67082880,67306431,65741000
9252685,2025.12.16,35480970,35288936,34771000
9252729,2025.12.16,7750000,7737956,7620000
9252779,2025.12.16,104880000,105972259,104800000
9252780,2025.12.16,130161000,130328658,130161000
9252821,2025.12.16,9250000000,9237463195,9150000000
